critical_verb,critical_noun
advanced,analysis
asked,stuff
assigned,activity
awarded,railing
bequeathed,exultation
bounced,protein
brought,trouble
carried,fighter
cited,saver
conceded,thinness
declared,courtesy
delivered,childhood
dropped,student
emailed,wheelie
extended,leverage
faxed,gully
fed,pen
flew,guts
forwarded,retractor
gave,year
granted,academy
guaranteed,philosophy
handed,sunset
hit,kid
lent,dose
lifted,aliens
loaned,boiler
lobbed,octane
mailed,timber
offered,custody
owed,oath
paid,type
passed,speech
phoned,racket
pitched,pasture
presented,extension
promised,position
provided,survival
pushed,parent
quoted,greens
raised,brains
read,lady
refunded,telepath
reimbursed,ionosphere
rented,height
repaid,enigma
reported,employee
sang,nest
sent,news
shot,game
showed,corner
slipped,curtain
smuggled,likeness
snuck,motto
sold,liar
taught,cousin
threw,space
tipped,tomato
told,hell
took,year
tossed,poetry
traded,weirdo
wired,bench
wrote,brain
yielded,bigotry