participant_id	experiment_section	frame_condition	block_num	trial_num	list_condition	crit_pair	crit_word	study_list	study_position	study_word
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	0	lemonade
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	1	blood
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	2	tooth
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	3	mink
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	4	dime
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	5	ale
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	0	hut
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	1	helper
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	2	egg
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	3	tongue
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	4	neighbor
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	5	thunder
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	0	office
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	1	river
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	2	brunette
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	3	tiger
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	4	parcel
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	5	prize
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	0	newspaper
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	1	deer
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	2	mosquito
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	3	sugar
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	4	pistol
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	5	mountain
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	0	toe
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	1	galaxy
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	2	finger
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	3	ankle
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	4	steam
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	5	mist