word,FREQcount,Lg10WF,CDcount,Lg10CD,Dom_PoS_SUBTLEX,Percentage_dom_PoS,animacy_mental_rating,animacy_physical_rating,total_animacy
professor,3548,3.5501,813,2.9106,Noun,1.00,691,662,1353
captain,10622,4.0262,1785,3.2519,Noun,1.00,662,690,1352
biologist,64,1.8129,50,1.7076,Noun,0.97,670,680,1350
surgeon,838,2.9238,500,2.6998,Noun,1.00,678,668,1346
teacher,2842,3.4538,1305,3.1159,Noun,1.00,672,674,1346
governor,1369,3.1367,401,2.6042,Noun,0.98,683,656,1339
dentist,571,2.7574,294,2.4698,Noun,1.00,661,676,1337
father,28279,4.4515,5446,3.7362,Noun,1.00,658,679,1337
scientist,621,2.7938,397,2.5999,Noun,1.00,672,665,1337
woman,22166,4.3457,5925,3.7728,Noun,1.00,647,690,1337
leader,1589,3.2014,894,2.9518,Noun,0.99,700,634,1334
orthodontist,25,1.415,20,1.3222,Noun,1.00,672,661,1333
engineer,596,2.776,326,2.5145,Noun,0.95,693,638,1331
detective,3117,3.4939,988,2.9952,Noun,0.99,685,645,1330
mother,24476,4.3888,5556,3.7448,Noun,0.99,641,685,1326
officer,5265,3.7215,2026,3.3069,Noun,1.00,658,668,1326
physician,313,2.4969,235,2.3729,Noun,1.00,648,677,1325
chef,606,2.7832,322,2.5092,Noun,1.00,651,672,1323
dad,25870,4.4128,4351,3.6387,Noun,1.00,659,664,1323
preacher,342,2.5353,145,2.1644,Noun,0.99,668,651,1319
boss,6339,3.8021,2333,3.3681,Noun,0.95,641,674,1315
actress,817,2.9128,379,2.5798,Noun,1.00,640,673,1313
supervisor,304,2.4843,240,2.382,Noun,0.99,660,653,1313
athlete,235,2.3729,189,2.2788,Noun,1.00,651,658,1309
person,10857,4.0357,4712,3.6733,Noun,1.00,637,672,1309
author,405,2.6085,251,2.4014,Noun,0.99,658,650,1308
sergeant,3210,3.5066,798,2.9025,Noun,1.00,656,652,1308
attorney,2060,3.3141,930,2.9689,Noun,1.00,658,649,1307
soldier,1985,3.298,830,2.9196,Noun,1.00,654,652,1306
operator,836,2.9227,475,2.6776,Noun,1.00,665,639,1304
aunt,2815,3.4496000000000002,954,2.98,Noun,1.00,625,677,1302
electrician,76,1.8865,59,1.7782,Noun,1.00,642,658,1300
emperor,690,2.8395,184,2.2672,Noun,1.00,651,649,1300
writer,1200,3.0795,573,2.7589,Noun,1.00,648,652,1300
sheriff,3115,3.4936,662,2.8215,Noun,0.99,657,641,1298
banker,243,2.3874,160,2.2068,Noun,1.00,640,656,1296
people,56252,4.7501,7889,3.8971,Noun,1.00,618,678,1296
king,6592,3.8191,1688,3.2276,Noun,0.95,647,648,1295
prince,2299,3.3617,689,2.8388,Noun,0.99,648,646,1294
artist,1460,3.1647,775,2.8899,Noun,1.00,647,646,1293
ballerina,118,2.0755,68,1.8388,Noun,1.00,633,660,1293
commander,1887,3.276,484,2.6857,Noun,0.99,665,628,1293
creator,142,2.1553,95,1.9823,Noun,1.00,641,652,1293
inventor,117,2.0719,83,1.9243,Noun,1.00,632,660,1292
lover,1358,3.1332,886,2.9479,Noun,1.00,625,667,1292
philosopher,155,2.1931,114,2.0607,Noun,1.00,650,641,1291
critic,192,2.2856,126,2.1038,Noun,1.00,651,637,1288
uncle,6327,3.8013,1865,3.2709,Noun,1.00,620,668,1288
customer,775,2.8899,578,2.7627,Noun,1.00,629,655,1284
guy,38893,4.5899,6594,3.8192,Noun,0.97,624,660,1284
citizen,680,2.8331,515,2.7126,Noun,1.00,617,666,1283
son,20949,4.3212,5145,3.7115,Noun,1.00,612,671,1283
expert,1128,3.0527,842,2.9258,Noun,0.97,695,587,1282
man,94133,4.9737,8054,3.9061,Noun,1.00,613,669,1282
pilot,1360,3.1339,567,2.7543,Noun,0.95,632,650,1282
policeman,598,2.7774,386,2.5877,Noun,0.97,636,645,1281
queen,2789,3.4456,1188,3.0752,Noun,0.98,640,641,1281
girlfriend,3881,3.5891,1946,3.2894,Noun,1.00,620,659,1279
owner,1185,3.0741,850,2.9299,Noun,1.00,629,650,1279
hostess,189,2.2788,157,2.1987,Noun,1.00,613,665,1278
pedestrian,71,1.8573,56,1.7559,Noun,0.99,611,667,1278
priest,1336,3.1261,522,2.7185,Noun,1.00,672,606,1278
producer,636,2.8041,351,2.5465,Noun,1.00,650,628,1278
worker,558,2.7474,418,2.6222,Noun,1.00,621,657,1278
wife,17795,4.2503,4811,3.6823,Noun,1.00,620,657,1277
architect,334,2.525,169,2.2304,Noun,0.99,652,623,1275
daughter,8739,3.9415,2993,3.4763,Noun,1.00,625,650,1275
manager,2038,3.3094,1055,3.0237,Noun,0.99,631,644,1275
lieutenant,5306,3.7248,886,2.9479,Noun,1.00,647,627,1274
doctor,13461,4.1291,3703,3.5687,Noun,1.00,619,654,1273
gentleman,2135,3.3296,1254,3.0986,Noun,1.00,608,663,1271
diver,124,2.0969,53,1.7324,Noun,0.95,602,665,1267
mom,21950,4.3415,4077,3.6104,Noun,1.00,606,660,1266
self,722,2.8591,534,2.7284,Noun,0.99,643,622,1265
employer,274,2.4393,206,2.316,Noun,1.00,622,640,1262
sister,9207,3.9642,3046,3.4839,Noun,1.00,602,660,1262
instructor,240,2.382,165,2.2201,Noun,1.00,634,627,1261
bride,1235,3.092,638,2.8055,Noun,0.98,611,649,1260
player,1926,3.2849,1031,3.0137,Noun,1.00,650,609,1259
colonel,4909,3.6911,642,2.8082,Noun,0.99,610,648,1258
deputy,798,2.9025,373,2.5729,Noun,0.99,623,635,1258
painter,344,2.5378,192,2.2856,Noun,0.98,626,632,1258
senator,1691,3.2284,305,2.4857,Noun,1.00,613,645,1258
chemist,95,1.9823,60,1.7853,Noun,1.00,631,626,1257
receptionist,97,1.9912,77,1.8921,Noun,1.00,614,643,1257
magician,390,2.5922,191,2.2833,Noun,0.99,609,647,1256
waiter,673,2.8287,433,2.6375,Noun,1.00,601,655,1256
mechanic,258,2.4133,185,2.2695,Noun,1.00,630,625,1255
sailor,632,2.8014,283,2.4533,Noun,1.00,608,647,1255
nephew,846,2.9279,475,2.6776,Noun,1.00,587,666,1253
genius,1773,3.249,1174,3.07,Noun,1.00,663,589,1252
grandma,2325,3.3666,853,2.9315,Noun,1.00,647,605,1252
buyer,264,2.4232,188,2.2765,Noun,1.00,615,636,1251
guardian,358,2.5551,247,2.3945,Noun,1.00,618,633,1251
gymnast,30,1.4914,22,1.3617,Noun,0.97,621,630,1251
warrior,516,2.7135,267,2.4281,Noun,1.00,588,663,1251
director,1834,3.2636,809,2.9085,Noun,0.99,651,599,1250
fireman,149,2.1761,105,2.0253,Noun,0.98,609,641,1250
gangster,272,2.4362,171,2.2355,Noun,0.99,608,641,1249
dictator,108,2.0374,72,1.8633,Noun,1.00,628,620,1248
lawyer,4055,3.6081,1686,3.2271,Noun,1.00,609,639,1248
thief,1238,3.0931,704,2.8482,Noun,1.00,589,659,1248
driver,2416,3.3833,1398,3.1458,Noun,1.00,623,624,1247
husband,9935,3.9972,3377,3.5287,Noun,0.99,592,654,1246
